ID,Name,Height,Weight,Age,Sex,Profession,Salary,Height_indicator,Weight_indicator
97,Воронов Радослав,170.0,68.0,69,м,инженер,453000,False,False
98,Максимов Альберт,166.0,90.0,89,м,сантехник,209000,False,False
99,Федотов Тимофей,174.0,73.0,51,м,студент,70000,False,False
100,Сафонов Касьян,192.0,108.0,64,м,бухгалтер,382000,False,False
101,Лыткин Михаил,177.0,90.0,60,м,студент,43000,False,False
102,Чернов Моисей,187.0,118.0,24,м,инженер,486000,False,False
103,Горшков Денис,169.0,95.0,75,м,автослесарь,423000,False,False
104,Щербаков Ростислав,171.0,104.0,75,м,инженер,451000,False,False
105,Ширяев Булат,172.0,58.0,82,м,студент,42000,False,False
106,Кудряшов Емельян,166.0,99.0,80,м,бухгалтер,188000,False,False
107,Пестов Матвей,180.0,98.0,26,м,бухгалтер,165000,False,False
108,Меркушев Ефрем,179.0,109.0,35,м,преподаватель,91000,False,False
109,Владимиров Модест,193.0,109.0,26,м,сантехник,414000,False,False
110,Архипов Касьян,190.0,95.0,68,м,автослесарь,150000,False,False
111,Буров Ринат,177.0,57.0,77,м,программист,406000,False,False
112,Александров Семен,189.0,118.0,73,м,врач,430000,False,False
113,Иванков Кирилл,169.0,78.0,78,м,студент,403000,False,False
114,Комиссаров Мартын,183.0,84.0,26,м,студент,143000,False,False
115,Кабанов Юрий,185.0,105.0,68,м,преподаватель,353000,False,False
116,Давыдов Алексей,186.0,103.0,70,м,программист,384000,False,False
117,Харитонов Эльдар,174.0,63.0,88,м,студент,31000,False,False
118,Зимин Аполлон,185.0,68.0,61,м,врач,125000,False,True
119,Муравьёв Демид,176.0,87.0,23,м,инженер,137000,False,False
120,Поляков Диомид,185.0,107.0,69,м,продавец,299000,False,False
121,Яковлев Денис,172.0,69.0,46,м,продавец,410000,False,False
122,Дроздов Никифор,167.0,119.0,58,м,автослесарь,36000,False,False
123,Рогов Вилен,185.0,94.0,29,м,бухгалтер,470000,False,False
124,Игнатов Арсений,172.0,58.0,58,м,инженер,80000,False,False
125,Коновалов Демид,170.0,88.0,21,м,сантехник,377000,False,False
126,Абрамов Эдуард,168.0,94.0,45,м,сантехник,404000,False,False
127,Кулагин Климент,172.0,110.0,80,м,врач,478000,False,False
128,Ковалёв Климент,175.0,98.0,45,м,бухгалтер,20000,True,False
129,Яковлев Илья,173.0,63.0,52,м,продавец,28000,False,False
130,Казаков Владлен,194.0,68.0,30,м,автослесарь,416000,False,True
131,Николаев Андрей,177.0,107.0,70,м,инженер,243000,False,False
132,Красильников Влас,190.0,118.0,81,м,продавец,26000,False,False
133,Кулагин Геннадий,192.0,91.0,75,м,инженер,328000,False,False
134,Шашков Арсен,181.0,68.0,83,м,сантехник,279000,False,True
135,Блохин Даниил,193.0,62.0,88,м,инженер,305000,False,False
136,Сергеев Тарас,171.0,94.0,37,м,сантехник,76000,False,False
137,Селезнёв Кирилл,177.0,69.0,87,м,программист,158000,False,False
138,Кузнецов Андрей,181.0,67.0,83,м,бухгалтер,344000,False,False
139,Фокин Антоний,191.0,93.0,75,м,бухгалтер,386000,False,False
140,Стрелков Максим,182.0,99.0,40,м,бухгалтер,170000,False,False
141,Якушев Августин,172.0,92.0,40,м,преподаватель,370000,False,False
142,Попов Юрий,193.0,78.0,76,м,инженер,322000,False,False
143,Сазонов Болеслав,189.0,63.0,80,м,продавец,259000,False,False
144,Сысоев Аким,188.0,58.0,36,м,студент,317000,False,False
145,Крюков Ренат,185.0,104.0,84,м,сантехник,351000,False,False
146,Коновалов Кир,182.0,93.0,81,м,преподаватель,17000,False,False
147,Красильников Фёдор,177.0,104.0,79,м,программист,11000,False,False
148,Орлов Всеволод,187.0,117.0,78,м,автослесарь,57000,False,False
149,Авдеев Демьян,177.0,68.0,30,м,студент,370000,False,True
150,Мельников Алексей,191.0,95.0,63,м,преподаватель,79000,False,False
151,Аксёнов Ярослав,179.0,90.0,72,м,врач,299000,False,False
152,Васильев Рустам,190.0,90.0,84,м,студент,160000,False,False
153,Матвеев Евстахий,190.0,116.0,21,м,преподаватель,236000,False,False
154,Шубин Антоний,172.0,93.0,45,м,преподаватель,130000,False,False
155,Силин Андрей,175.0,62.0,51,м,инженер,173000,False,False
156,Корнилов Аристарх,177.0,52.0,26,м,врач,18000,False,False
157,Бирюков Терентий,184.0,105.0,64,м,врач,410000,False,False
158,Борисов Иннокентий,191.0,87.0,22,м,программист,221000,False,False
159,Устинов Ян,178.0,102.0,83,м,преподаватель,470000,False,False
160,Емельянов Антоний,171.0,101.0,82,м,автослесарь,29000,False,False
161,Куликов Дамир,191.0,105.0,74,м,бухгалтер,299000,False,False
162,Федотов Макарий,173.0,71.0,70,м,программист,383000,False,False
163,Евдокимов Димитрий,176.0,100.0,54,м,врач,214000,False,False
164,Морозов Роман,165.0,86.0,21,м,врач,389000,False,False
165,Родионов Данислав,177.0,96.0,22,м,студент,355000,False,False
166,Суханов Диомид,170.0,89.0,46,м,инженер,332000,False,False
167,Мамонтов Святослав,170.0,80.0,47,м,сантехник,448000,False,False
168,Панов Никифор,172.0,116.0,25,м,автослесарь,256000,False,False
169,Шашков Арсен,176.0,83.0,20,м,автослесарь,206000,False,False
170,Мухин Семен,184.0,99.0,67,м,бухгалтер,402000,False,False
171,Туров Николай,175.0,109.0,50,м,преподаватель,156000,True,False
172,Фомичёв Семён,181.0,78.0,61,м,сантехник,360000,False,False
173,Белоусов Кирилл,170.0,99.0,75,м,программист,486000,False,False
174,Ефремов Еремей,191.0,68.0,23,м,бухгалтер,58000,False,True
175,Лобанов Мартин,169.0,77.0,32,м,бухгалтер,360000,False,False
176,Миронов Марат,176.0,115.0,33,м,врач,23000,False,False
177,Константинов Герасим,175.0,96.0,86,м,сантехник,113000,True,False
178,Лобанов Елисей,168.0,107.0,62,м,продавец,449000,False,False
179,Шестаков Августин,175.0,69.0,43,м,преподаватель,445000,False,False
180,Зиновьев Николай,189.0,91.0,32,м,бухгалтер,193000,False,False
181,Сафонов Тихон,179.0,68.0,33,м,продавец,409000,False,True
182,Гордеев Константин,168.0,70.0,59,м,студент,72000,False,False
183,Фёдоров Виктор,167.0,82.0,54,м,врач,303000,False,False
184,Дементьев Мирослав,183.0,87.0,32,м,автослесарь,452000,False,False
185,Рогов Трофим,174.0,51.0,51,м,автослесарь,208000,False,False
186,Волков Фаддей,172.0,90.0,18,м,сантехник,380000,False,False
187,Исаков Кондрат,174.0,111.0,49,м,автослесарь,108000,False,False
188,Николаев Мирон,184.0,101.0,73,м,бухгалтер,238000,False,False
189,Кулагин Аркадий,167.0,56.0,31,м,врач,395000,False,False
190,Осипов Глеб,166.0,70.0,57,м,сантехник,182000,False,False
191,Агафонов Серафим,178.0,66.0,56,м,инженер,139000,False,False
192,Терентьев Радик,178.0,111.0,68,м,продавец,386000,False,False
193,Корнилов Потап,188.0,98.0,67,м,студент,99000,False,False
194,Суханов Никола,169.0,68.0,28,м,продавец,97000,False,True
195,Власов Леонид,169.0,104.0,45,м,бухгалтер,476000,False,False
196,Беспалов Потап,192.0,93.0,28,м,продавец,327000,False,False
197,Зайцев Димитрий,177.0,98.0,64,м,студент,324000,False,False
198,Селиверстов Климент,188.0,61.0,46,м,программист,287000,False,False
199,Кудрявцев Митрофан,181.0,83.0,72,м,продавец,445000,False,False
200,Зыков Макар,188.0,72.0,85,м,сантехник,482000,False,False
201,Степанов Никита,172.0,81.0,36,м,автослесарь,19000,False,False
202,Антонов Егорий,166.0,117.0,80,м,программист,355000,False,False
203,Цветков Филимон,174.0,71.0,27,м,автослесарь,194000,False,False
204,Журавлёв Остап,181.0,90.0,63,м,продавец,200000,False,False
205,Белоусов Пётр,173.0,68.0,68,м,преподаватель,367000,False,False
206,Блинов Валентин,175.0,51.0,43,м,врач,228000,True,False
207,Беляев Арсен,180.0,114.0,51,м,автослесарь,294000,False,False
208,Сазонов Марк,170.0,73.0,36,м,инженер,428000,False,False
209,Дорофеев Ярослав,172.0,97.0,18,м,автослесарь,403000,False,False
210,Кошелев Климент,184.0,91.0,23,м,инженер,470000,False,False
211,Киселёв Тихон,191.0,59.0,78,м,инженер,122000,False,False
212,Лапин Пётр,176.0,113.0,33,м,сантехник,491000,False,False
213,Суворов Григорий,179.0,101.0,57,м,преподаватель,278000,False,False
214,Дементьев Юлий,188.0,59.0,70,м,инженер,176000,False,False
215,Гришин Терентий,175.0,63.0,46,м,инженер,102000,False,False
216,Дроздов Валентин,178.0,106.0,86,м,бухгалтер,487000,False,False
217,Рожков Глеб,187.0,66.0,78,м,студент,264000,False,False
218,Суворов Никита,167.0,103.0,72,м,врач,105000,False,False
219,Назаров Евдоким,176.0,113.0,39,м,инженер,361000,False,False
220,Исаев Семён,177.0,75.0,34,м,программист,254000,False,False
221,Фомичёв Ренат,171.0,119.0,34,м,автослесарь,388000,False,False
222,Новиков Платон,169.0,109.0,59,м,программист,343000,False,False
223,Носков Август,183.0,83.0,46,м,бухгалтер,277000,False,False
224,Игнатов Марат,185.0,103.0,49,м,сантехник,460000,False,False
225,Дорофеев Герман,176.0,76.0,80,м,программист,123000,False,False
226,Буров Марат,178.0,106.0,47,м,врач,21000,False,False
227,Авдеев Еремей,186.0,73.0,73,м,сантехник,422000,False,False
228,Афанасьев Еремей,183.0,68.0,50,м,автослесарь,113000,False,True
229,Савельев Гордей,167.0,53.0,44,м,автослесарь,412000,False,False
230,Михайлов Святослав,173.0,68.0,53,м,студент,182000,False,False
231,Васильев Игнатий,171.0,74.0,47,м,инженер,69000,False,False
232,Воронов Эрик,177.0,117.0,25,м,врач,12000,False,False
233,Ковалёв Аристарх,172.0,109.0,63,м,автослесарь,15000,False,False
234,Мышкин Матвей,180.0,58.0,26,м,бухгалтер,282000,False,False
235,Данилов Чарли,167.0,114.0,78,м,преподаватель,117000,False,False
236,Фокин Виссарион,176.0,81.0,43,м,продавец,57000,False,False
237,Мухин Всеволод,172.0,83.0,76,м,сантехник,76000,False,False
238,Баранов Егорий,184.0,53.0,32,м,преподаватель,390000,False,False
239,Соболев Захар,192.0,115.0,36,м,студент,499000,False,False
240,Киселёв Болеслав,167.0,99.0,79,м,программист,145000,False,False
241,Антонов Тимофей,185.0,73.0,18,м,врач,294000,False,False
242,Горшков Болеслав,191.0,115.0,69,м,продавец,154000,False,False
243,Исаев Егорий,191.0,112.0,36,м,врач,52000,False,False
244,Большаков Аркадий,168.0,73.0,51,м,студент,415000,False,False
245,Цветков Агафон,170.0,84.0,44,м,автослесарь,226000,False,False
246,Блохин Артём,172.0,61.0,40,м,бухгалтер,245000,False,False
247,Морозов Платон,178.0,93.0,38,м,автослесарь,189000,False,False
248,Панфилов Сергей,182.0,87.0,21,м,преподаватель,54000,False,False
249,Бирюков Рустам,169.0,102.0,50,м,студент,250000,False,False
250,Галкин Мирослав,181.0,93.0,70,м,инженер,415000,False,False
251,Пестов Геннадий,174.0,84.0,18,м,врач,389000,False,False
252,Носков Лукьян,177.0,100.0,28,м,студент,22000,False,False
253,Фокин Юлиан,182.0,72.0,20,м,программист,62000,False,False
254,Воронцов Чарли,175.0,72.0,70,м,преподаватель,408000,False,False
255,Михайлов Радий,166.0,104.0,53,м,студент,484000,False,False
256,Воронцов Алексей,168.0,119.0,83,м,инженер,59000,False,False
257,Русаков Никита,175.0,100.0,72,м,студент,459000,False,False
258,Субботин Илья,177.0,52.0,72,м,врач,402000,False,False
259,Куликов Семён,182.0,57.0,49,м,продавец,156000,False,False
260,Носов Игнатий,185.0,50.0,51,м,бухгалтер,35000,False,False
261,Ковалёв Яков,176.0,92.0,37,м,программист,354000,False,False
262,Исаев Григорий,186.0,85.0,23,м,программист,131000,False,False
263,Шестаков Никодим,193.0,90.0,89,м,студент,431000,False,False
264,Воронов Савва,193.0,77.0,43,м,преподаватель,433000,False,False
265,Мамонтов Денис,193.0,62.0,74,м,продавец,481000,False,False
266,Прохоров Илья,180.0,117.0,70,м,преподаватель,448000,False,False
267,Михайлов Болеслав,177.0,76.0,19,м,сантехник,354000,False,False
268,Галкин Григорий,191.0,89.0,40,м,инженер,250000,False,False
269,Горшков Арсентий,185.0,79.0,31,м,инженер,262000,False,False
270,Мишин Валерий,172.0,68.0,52,м,студент,161000,False,True
271,Павлов Борис,174.0,110.0,26,м,инженер,13000,False,False
272,Панов Семен,183.0,76.0,76,м,бухгалтер,126000,False,False
273,Власов Климент,166.0,56.0,60,м,преподаватель,82000,False,False
274,Осипов Феликс,168.0,67.0,21,м,программист,95000,False,False
275,Моисеев Анатолий,177.0,74.0,82,м,преподаватель,400000,False,False
276,Борисов Филимон,165.0,96.0,53,м,продавец,143000,False,False
277,Кабанов Виктор,188.0,72.0,27,м,продавец,40000,False,False
278,Константинов Бронислав,168.0,107.0,83,м,сантехник,185000,False,False
279,Муравьёв Вадим,193.0,83.0,34,м,автослесарь,322000,False,False
280,Лобанов Ренат,186.0,86.0,71,м,автослесарь,375000,False,False
281,Фомин Герман,168.0,63.0,60,м,продавец,13000,False,False
282,Евсеев Серафим,165.0,51.0,89,м,инженер,366000,False,False
283,Тимофеев Владимир,180.0,99.0,44,м,врач,348000,False,False
284,Брагин Никодим,173.0,101.0,53,м,программист,270000,False,False
285,Соловьёв Артемий,182.0,108.0,25,м,автослесарь,99000,False,False
286,Емельянов Аркадий,187.0,96.0,69,м,врач,35000,False,False
287,Тихонов Константин,182.0,59.0,42,м,продавец,373000,False,False
288,Доронин Артур,173.0,78.0,56,м,врач,368000,False,False
289,Кононов Вадим,189.0,106.0,81,м,бухгалтер,285000,False,False
290,Аксёнов Марк,171.0,51.0,54,м,инженер,260000,False,False
291,Стрелков Юрий,190.0,62.0,64,м,студент,330000,False,False
292,Пестов Мирослав,192.0,109.0,38,м,бухгалтер,432000,False,False
293,Рябов Авраам,175.0,99.0,88,м,преподаватель,229000,False,False
294,Савин Дамир,184.0,54.0,75,м,продавец,110000,False,False
295,Виноградов Евдоким,179.0,113.0,36,м,автослесарь,343000,False,False
296,Кузнецов Савелий,188.0,62.0,70,м,автослесарь,79000,False,False
297,Медведев Бенедикт,190.0,97.0,68,м,преподаватель,61000,False,False
298,Данилов Евдоким,172.0,85.0,33,м,преподаватель,61000,False,False
299,Григорьев Сидор,192.0,114.0,71,м,сантехник,195000,False,False
300,Коновалов Игнатий,193.0,85.0,82,м,врач,322000,False,False
301,Денисов Дмитрий,190.0,114.0,39,м,врач,486000,False,False
302,Карпов Архип,168.0,103.0,33,м,программист,413000,False,False
303,Новиков Григорий,183.0,109.0,56,м,врач,43000,False,False
304,Рожков Ярослав,190.0,90.0,36,м,инженер,238000,False,False
305,Доронин Феликс,172.0,68.0,48,м,студент,362000,False,True
306,Иванов Ренат,174.0,77.0,68,м,студент,360000,False,False
307,Яковлев Демид,190.0,115.0,47,м,программист,156000,False,False
308,Котов Давид,184.0,96.0,42,м,бухгалтер,237000,False,False
309,Шубин Кирилл,165.0,59.0,77,м,программист,65000,False,False
310,Марков Виталий,175.0,59.0,67,м,студент,399000,True,False
311,Доронин Тихон,171.0,107.0,18,м,преподаватель,115000,False,False
312,Поляков Марк,175.0,86.0,47,м,врач,146000,False,False
313,Гуляев Дмитрий,179.0,52.0,23,м,врач,342000,False,False
314,Петухов Мирослав,193.0,95.0,37,м,программист,135000,False,False
315,Кононов Юрий,176.0,71.0,87,м,бухгалтер,178000,False,False
316,Сергеев Давид,175.0,101.0,45,м,автослесарь,92000,True,False
317,Стрелков Демьян,191.0,92.0,28,м,студент,220000,False,False
318,Александров Ефим,172.0,114.0,20,м,автослесарь,468000,False,False
319,Щукин Дамир,165.0,68.0,85,м,программист,43000,False,True
320,Аксёнов Арсентий,169.0,53.0,82,м,автослесарь,469000,False,False
321,Ларионов Вениамин,173.0,58.0,61,м,сантехник,402000,False,False
322,Исаков Юлий,192.0,91.0,46,м,продавец,53000,False,False
323,Гордеев Пётр,194.0,111.0,83,м,врач,198000,False,False
324,Карпов Бронислав,182.0,74.0,57,м,врач,110000,False,False
325,Пестов Егор,193.0,79.0,50,м,продавец,82000,False,False
326,Дьячков Мартин,171.0,91.0,58,м,преподаватель,215000,False,False
327,Игнатов Всеволод,186.0,112.0,87,м,врач,319000,False,False
328,Алексеев Герман,176.0,108.0,18,м,врач,170000,False,False
329,Суворов Диомид,173.0,114.0,57,м,преподаватель,273000,False,False
330,Лаврентьев Августин,186.0,84.0,82,м,сантехник,279000,False,False
331,Ефремов Денис,193.0,61.0,88,м,студент,267000,False,False
332,Ефремов Чарли,184.0,55.0,60,м,преподаватель,393000,False,False
333,Савин Виссарион,191.0,77.0,79,м,автослесарь,383000,False,False
334,Родионов Игнат,191.0,92.0,27,м,продавец,256000,False,False
335,Белозёров Макар,177.0,55.0,26,м,автослесарь,158000,False,False
336,Зыков Осип,170.0,89.0,36,м,инженер,109000,False,False
337,Федосеев Макарий,175.0,109.0,23,м,студент,349000,True,False
338,Доронин Евстахий,193.0,104.0,65,м,врач,470000,False,False
339,Комаров Арсений,168.0,83.0,61,м,сантехник,157000,False,False
340,Антонов Анастасий,172.0,100.0,34,м,студент,349000,False,False
341,Галкин Илья,185.0,116.0,66,м,программист,352000,False,False
342,Николаев Харитон,173.0,62.0,39,м,врач,380000,False,False
343,Ермаков Демид,170.0,92.0,57,м,сантехник,118000,False,False
344,Тетерин Анастасий,172.0,60.0,31,м,автослесарь,57000,False,False
345,Дьячков Болеслав,174.0,68.0,79,м,программист,141000,False,True
346,Корнилов Иероним,167.0,93.0,31,м,инженер,343000,False,False
347,Крюков Всеволод,166.0,68.0,62,м,продавец,15000,False,True
348,Беляков Никанор,183.0,113.0,21,м,продавец,348000,False,False
349,Авдеев Аполлон,181.0,50.0,86,м,врач,88000,False,False
350,Авдеев Радомир,185.0,81.0,57,м,продавец,271000,False,False
351,Лобанов Григорий,193.0,63.0,18,м,автослесарь,98000,False,False
352,Пономарёв Болеслав,179.0,99.0,26,м,продавец,108000,False,False
353,Цветков Дамир,190.0,114.0,51,м,преподаватель,446000,False,False
354,Захаров Федот,189.0,96.0,60,м,врач,396000,False,False
355,Попов Илларион,187.0,58.0,81,м,сантехник,53000,False,False
356,Красильников Зиновий,173.0,64.0,89,м,программист,426000,False,False
357,Капустин Ренат,185.0,101.0,18,м,врач,490000,False,False
358,Мельников Зорийй,166.0,82.0,82,м,продавец,367000,False,False
359,Цветков Марат,180.0,56.0,74,м,врач,406000,False,False
360,Цветков Анфим,182.0,104.0,87,м,автослесарь,319000,False,False
361,Пестов Влас,187.0,62.0,36,м,автослесарь,177000,False,False
362,Ситников Иероним,192.0,68.0,45,м,преподаватель,156000,False,True
363,Самойлов Леонид,166.0,86.0,61,м,продавец,340000,False,False
364,Некрасов Никола,174.0,102.0,32,м,бухгалтер,434000,False,False
365,Артемьев Виталий,184.0,58.0,86,м,студент,301000,False,False
366,Ширяев Модест,175.0,81.0,79,м,преподаватель,127000,True,False
367,Киселёв Степан,168.0,79.0,25,м,врач,271000,False,False
368,Зуев Макарий,173.0,99.0,79,м,программист,316000,False,False
369,Поляков Евстахий,173.0,68.0,61,м,автослесарь,133000,False,False
370,Беляков Аполлон,192.0,117.0,41,м,инженер,450000,False,False
371,Веселов Федот,166.0,68.0,82,м,продавец,219000,False,False
372,Кириллов Спартак,182.0,60.0,30,м,автослесарь,198000,False,False
373,Лазарев Кир,189.0,59.0,87,м,врач,109000,False,False
374,Симонов Святослав,180.0,57.0,33,м,сантехник,407000,False,False
375,Чернов Болеслав,177.0,87.0,18,м,врач,228000,False,False
376,Маслов Анфим,168.0,74.0,77,м,врач,345000,False,False
377,Никонов Роман,165.0,117.0,46,м,автослесарь,430000,False,False
378,Гусев Ян,185.0,91.0,30,м,продавец,250000,False,False
379,Кабанов Наум,175.0,96.0,78,м,студент,41000,True,False
380,Тетерин Бронислав,189.0,79.0,64,м,автослесарь,53000,False,False
381,Мухин Данислав,174.0,84.0,28,м,инженер,461000,False,False
382,Туров Иван,178.0,59.0,58,м,бухгалтер,283000,False,False
383,Уваров Авраам,175.0,97.0,19,м,продавец,233000,True,False
384,Рогов Лукьян,184.0,85.0,88,м,студент,252000,False,False
385,Гусев Рустам,179.0,93.0,27,м,автослесарь,331000,False,False
386,Бобылёв Вадим,185.0,65.0,48,м,инженер,267000,False,False
387,Ларионов Осип,187.0,53.0,80,м,преподаватель,240000,False,False
388,Романов Диомид,166.0,68.0,85,м,преподаватель,142000,False,True
389,Устинов Артур,169.0,118.0,52,м,врач,466000,False,False
390,Беляев Вольдемар,179.0,60.0,60,м,продавец,75000,False,False
391,Щербаков Фёдор,187.0,106.0,24,м,программист,222000,False,False
392,Андреев Леонид,169.0,94.0,68,м,преподаватель,127000,False,False
393,Стрелков Виссарион,190.0,107.0,54,м,преподаватель,177000,False,False
394,Соловьёв Виссарион,192.0,94.0,24,м,сантехник,285000,False,False
395,Рожков Эдуард,187.0,89.0,53,м,преподаватель,222000,False,False
396,Лукин Демьян,175.0,74.0,33,м,врач,420000,True,False
